Sp,Country,Region,Pop,Indiv,Site,Block,Year,MISM,MISM.F1,TotSeeds.F1
Ro,UK,Cb,RoUKCbA,RoUKCbA1,West,W3,2019,1.391,1.531,34628
Ro,NZ,S,RoNZSC,RoNZSC3,West,W3,2018,2.629,1.403,NA
Ro,NZ,S,RoNZSC,RoNZSC3,West,W2,2019,2.629,2.072,8217
Ro,UK,Cb,RoUKCbA,RoUKCbA3,West,W3,2018,2.065,1.472,NA
Ro,UK,G,RoUKGB,RoUKGB5,West,W2,2019,1.281,1.675,8169
Ro,NZ,S,RoNZSC,RoNZSC8,West,W3,2018,2.576,0.538,NA
Ro,NZ,W,RoNZWC,RoNZWC5,West,W2,2018,1.610,1.992,NA
Ro,UK,Cw,RoUKCwD,RoUKCwD4,West,W1,2018,1.231,1.923,NA
Ro,NZ,S,RoNZSA,RoNZSA9,West,W2,2019,0.888,1.244,NA
Ro,UK,Cb,RoUKCbB,RoUKCbB4,West,W2,2018,1.923,2.374,NA
Ro,NZ,W,RoNZWB,RoNZWB4,West,W3,2019,2.100,1.871,NA
Ro,NZ,W,RoNZWD,RoNZWD2,West,W2,2019,2.274,1.685,113514
Ro,NZ,W,RoNZWB,RoNZWB4,West,W2,2019,2.100,2.090,16501
Ro,UK,Cb,RoUKCbD,RoUKCbD1,West,W3,2019,1.750,1.350,NA
Ro,UK,Cw,RoUKCwC,RoUKCwC5,West,W3,2019,2.045,2.518,87035
Ro,NZ,W,RoNZWD,RoNZWD5,West,W3,2019,1.763,1.627,82343
Ro,NZ,W,RoNZWD,RoNZWD5,West,W1,2019,1.763,1.591,20110
Ro,NZ,S,RoNZSD,RoNZSD5,West,W3,2019,1.077,1.529,6734
Ro,UK,Cb,RoUKCbB,RoUKCbB4,West,W3,2018,1.923,1.220,NA
Ro,NZ,C,RoNZCC,RoNZCC3,West,W2,2018,2.259,1.270,NA
Ro,NZ,W,RoNZWC,RoNZWC1,West,W3,2018,1.704,0.884,NA
Ro,UK,Cw,RoUKCwC,RoUKCwC6,West,W3,2019,1.955,1.727,94037
Ro,UK,G,RoUKGB,RoUKGB4,West,W3,2019,1.300,1.696,72482
Ro,NZ,W,RoNZWA,RoNZWA2,West,W1,2018,1.769,1.679,NA
Ro,UK,Cw,RoUKCwD,RoUKCwD10,West,W1,2019,1.538,2.036,5315
Ro,NZ,S,RoNZSA,RoNZSA6,West,W2,2019,2.379,1.669,6228
Ro,NZ,W,RoNZWC,RoNZWC3,West,W1,2018,1.915,1.874,NA
